,lable,text
64,DAU AN,dầu đậu nành đã epoxy hóa dùng cho ngành cn sx nhựa epoxidized soybean oil hàng đóng thống nhất 200 kg thùng tổng cộng 80 thùng chứng thư giám định 1799 n3 5 td ngày 16 06 2005
65,DAU AN,dầu đậu nành eso 132 dùng trong công nghiệp nhựa mới 100
66,DAU AN,dầu đậu tương dùng trong công nghiệp nhựa epoxidized soya bean oil
67,DAU AN,dầu thực vật đã được ôxy hóa không ăn được epoxidized soya bean oil  dùng trong công nghiệp ngành nhựa hàng mới 100
68,DAU AN,dầu tinh luyện của dầu cọ a in 12 x1 liter pet bottle mới 100 1 thùng 12 chai 1 chai 1 lit
69,DAU AN,double boiled linseed oil dầu hạt lanh đã được đun sôi dùng trong ngành sơn
70,DAU AN,aloe vera oil extract chiết xuất từ cây lô hội dạng dầu 1231a kq 01
71,DAU AN,dầu gia vị seasoning oil dn
72,DAU AN,dầu gia vị seasoning oil 1
73,DAU AN,dầu mè ottogi sesame oil
74,DAU AN,dầu thực vật hóa chất dùng trong cn sx sơn hàng mới 100 
75,DAU AN,dầu thực vật đã đc polyme hóa 175kg thùng no ap 330 mới 100
76,DAU AN,dầu tía tô ottogi perilla oil
77,DAU AN,nhựa polyurethan nhãn hiệu yh753a
78,DAU AN,nlsx sơn air drying stand oil av 12 dầu thực vật 
79,DAU AN,zz000 o0806 oil dầu đã được expoxy hóa 
80,DAU AN,dầu của cây cọ dầu dùng giải nhiệt khuôn đúc sườn cực ắc quy 1 thùng 55 gallon hàng mới 100 
81,PHU GIA,chất hóa dẻo epoxidized soya bean oil
82,PHU GIA,chế phẩm không ăn được từ dầu thực vật dùng trong nhựa cao su epoxidized soyabean oil b22 chứng thư 0486 n3 6 tđ ngày 30 03 2006 200kg thùng 
83,PHU GIA,dầu đậu nành dùng trong công nghiệp nhựa epoxidized soyabean oil b22 hàng mới 100 
84,PHU GIA,dầu thực vật đã biến tính dùng sản xuất nhựa không dùng trong thực phẩm epoxidized soya bean oil hm 01 mới 100
85,PHU GIA,epoxidized soyabean oil b22 dầu đậu nành ứng dụng trong ngành nhựa hàng mới 100
86,PHU GIA,khô dầu đậu nành epoxidized soyabean oil
87,PHU GIA,chất làm trơn dùng trong sx mỹ phẩm shea butter rbd
88,PHU GIA,chế phẩm không ăn đựơc từ dầu thực vật dùng trong ngành sơn afcona 5044 hàng mới 100
89,PHU GIA,dầu của cây cải dầu dùng bôi trơn khuôn đúc sườn cực ắc quy 1 thùng 55 gallon hàng mới 100 
90,PHU GIA,dầu thầu dầu biến tính không ăn được dùng trong sx mỹ phẩm promoizers kmt
91,PHU GIA,epoxy stabilizer chế phẩm không ăn được từ dầu thực vật
92,PHU GIA,karite cn shea butter chiết suất từ hạt đậu mỡ nguyên liệu cho sản xuất mỹ phẩm hàng mới 100
93,PHU GIA,nguyên liệu dưỡng chất tinh dầu dùng trong ngành sản xuất dầu gội sheabutter pressed refined batch no karc164 hàng mới 100
94,PHU GIA,nguyên liệu sản xuất dầu gội các hỗn hợp hoặc các chế phẩm không ăn được từ dầu thực vật loại khác sweet almond oil
95,PHU GIA,chế phẩm từ dầu thực vật nguyên liệu sản xuất hạt nhựa hm 01a epoxidized soya bean oil
96,PHU GIA,dầu bôi trơn cho máy có nguồn gốc từ thực vật 
97,PHU GIA,dầu đậu nành đã epoxy hóa dùng trong sản xuất nhựa không dùng trong thực phẩm epoxidized soyabean oil b22
98,PHU GIA,dầu thực vật đã epoxy hóa dùng trong ngành nhựa epoxidized soya bean oil 200 kg 
